Client_ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
17067,100000,Female,University,Single,24,0,0,0,0,-1,0,7094,8249,7911,17716,1002,1518,1439,2000,10070,1002,1000,500,Non-Defaulter
11341,170000,Female,University,Single,56,-1,-1,-1,-1,-1,-1,4767,0,451,0,424,1482,0,451,0,424,1482,688,Defaulter
16037,90000,Female,University,Single,26,0,0,0,0,0,0,61982,46323,43710,45474,46369,47623,2000,2100,2500,1650,2000,2000,Non-Defaulter
10125,20000,Male,University,Married,38,2,2,2,2,2,2,6313,8625,8338,9199,9378,9081,2426,0,1000,471,0,482,Non-Defaulter
10224,120000,Male,University,Single,32,0,0,0,0,0,0,113650,105592,105428,76543,144089,74115,3999,6025,3069,3001,6000,3112,Non-Defaulter
12439,160000,Female,Graduate school,Single,33,-1,-1,-1,-1,-1,-1,5256,3290,1140,559,2065,450,3290,1140,559,2065,450,825,Non-Defaulter
587,220000,Male,Graduate school,Married,43,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Defaulter
1161,70000,Male,Graduate school,Single,33,0,0,0,0,-2,-2,70524,70740,46740,0,0,0,2500,2000,0,0,0,0,Non-Defaulter
18286,90000,Male,University,Married,57,0,0,0,0,0,0,10635,10889,10953,11155,15210,19425,3007,3000,3000,5000,6000,8000,Non-Defaulter
2157,290000,Female,Graduate school,Single,25,0,0,0,0,0,0,305823,303701,296384,248801,241983,230925,15000,10500,10000,15000,7844,23333,Defaulter
4737,290000,Female,University,Single,24,0,0,0,0,0,0,145341,136849,122627,115857,101472,98069,7000,6000,5024,5000,5000,10000,Non-Defaulter
14854,290000,Male,University,Married,39,0,0,0,0,0,0,209265,215887,220787,223810,228043,234257,10000,10000,8165,9000,10000,7010,Non-Defaulter
20820,170000,Male,University,Married,38,-1,0,-1,-1,-1,0,16480,21770,11507,715,3282,715,15067,11572,3282,3282,0,3122,Defaulter
423,230000,Female,University,Single,38,-1,-1,-1,-1,-1,-1,10237,2795,1350,371,2980,0,2795,1350,371,2980,0,2213,Non-Defaulter
18726,140000,Female,High School,Married,28,2,2,2,2,2,2,96008,98017,99961,101123,97375,103044,4500,4400,3700,0,7800,0,Defaulter
6763,240000,Female,Graduate school,Married,45,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Non-Defaulter
16310,100000,Female,University,Married,34,3,2,2,2,2,2,39192,39951,39030,43381,43771,44626,1700,0,5000,1400,1700,300,Non-Defaulter
12640,500000,Male,Graduate school,Married,41,0,0,0,0,0,0,505128,500867,489856,356583,289398,274590,19295,18694,12271,9699,9420,8818,Non-Defaulter
27948,30000,Female,High School,Single,28,2,0,0,-1,-1,0,1946,1473,0,157,24767,24991,1000,0,3160,25000,1000,2000,Non-Defaulter
8845,300000,Female,University,Married,66,1,-1,2,-1,0,0,0,200,200,22935,16858,0,200,0,22935,0,0,0,Non-Defaulter
22027,250000,Female,University,Single,29,0,0,0,0,0,0,46948,46351,33227,33732,32245,37589,2500,10000,3000,3000,8000,0,Non-Defaulter
8896,450000,Male,Graduate school,Married,33,-1,-1,-1,-1,-1,-1,390,390,390,390,389,990,390,390,390,389,992,780,Non-Defaulter
15793,30000,Female,University,Single,23,0,0,0,2,0,0,10550,11670,13469,14045,14509,16962,1300,2000,1100,1000,2700,500,Defaulter
4850,140000,Female,Graduate school,Single,27,-1,-1,-2,-2,-2,-2,390,0,0,0,0,0,0,0,0,0,0,2943,Non-Defaulter
13272,320000,Female,University,Single,33,-1,-1,-1,0,0,-1,7444,5755,34909,16313,9279,5824,5783,35069,4341,46,5849,48366,Non-Defaulter
14095,500000,Male,Graduate school,Single,28,2,0,0,0,0,0,216657,174694,165203,136067,16120,93532,8508,4699,623,1590,93469,2554,Non-Defaulter
11361,20000,Female,University,Married,58,0,0,0,0,0,0,19698,19224,18690,17392,16408,16343,1315,1254,596,592,594,553,Non-Defaulter
8881,660000,Female,University,Single,33,0,0,0,0,0,0,495736,390258,349361,331565,329604,322581,13393,12113,12004,12008,11503,12019,Non-Defaulter
1817,160000,Male,Graduate school,Married,40,1,-1,-1,-1,-1,-1,0,567,4027,3100,2123,4899,567,4059,3100,2123,4899,3165,Non-Defaulter
20527,160000,Male,University,Single,30,0,0,0,0,0,0,155967,151161,132051,93367,84622,87255,7541,5500,4200,3032,4000,2609,Non-Defaulter
2279,50000,Female,High School,Married,37,2,0,0,0,0,0,38527,39609,40352,41183,42221,42935,2000,1700,1500,1700,1568,7400,Defaulter
14406,100000,Female,Graduate school,Single,26,0,0,0,-1,-1,2,24459,26726,25669,881,57540,55038,3000,1016,2007,57500,2000,0,Non-Defaulter
11123,50000,Male,Graduate school,Single,30,1,2,2,0,0,0,7690,8805,9502,10189,10869,11533,1400,1000,1000,1000,1000,1000,Non-Defaulter
13365,110000,Male,University,Single,23,0,0,0,2,2,2,43027,44340,48959,49672,50758,49676,2000,5700,1800,2500,0,2000,Non-Defaulter
23532,200000,Female,High School,Single,45,-2,-2,-2,-2,-2,-2,0,10221,1356,0,984,134,10221,1356,0,984,134,81,Non-Defaulter
9885,210000,Female,Graduate school,Single,26,-1,-1,-1,-2,-1,-1,231,1608,0,0,312,0,1624,0,0,312,0,0,Non-Defaulter
16403,50000,Female,High School,Married,39,0,0,0,0,0,0,38506,36749,32159,25145,17331,17901,2008,3000,2000,1000,1000,1000,Non-Defaulter
16937,360000,Male,University,Married,50,-2,-2,-2,-2,-2,-2,28595,0,2500,0,0,0,0,2500,0,0,0,0,Non-Defaulter
20398,480000,Male,Graduate school,Married,37,-1,-1,-1,-1,0,0,2849,30999,53425,76538,106032,66535,45205,55328,77000,30048,30015,15056,Non-Defaulter
26947,60000,Male,Graduate school,Married,38,1,-2,-2,-2,-1,-1,0,0,0,0,1040,0,0,0,0,1040,0,0,Non-Defaulter
23722,260000,Female,High School,Married,59,0,0,0,0,0,0,258885,261183,262546,238614,195149,195771,10000,11000,13067,10003,8000,11488,Non-Defaulter
27643,80000,Female,Graduate school,Single,23,0,0,0,0,0,0,78366,67801,68034,55674,48649,47041,2540,2442,1810,1661,1668,1663,Non-Defaulter
5010,30000,Female,University,Single,26,0,0,0,0,0,0,12479,10100,10923,10549,4747,4864,1233,1056,500,500,1000,2000,Non-Defaulter
16128,60000,Female,University,Married,36,0,0,0,0,0,0,60333,51838,45728,36441,37336,38138,2100,2000,1700,1500,1400,1500,Non-Defaulter
27798,280000,Female,University,Married,26,0,-1,-1,-1,-1,-1,6056,804,4712,1728,2076,1709,1200,4720,1728,2076,1709,7508,Non-Defaulter
27732,20000,Female,Graduate school,Single,24,0,0,0,2,0,0,19335,20094,19495,18845,19023,17928,1415,3600,0,700,4500,1900,Non-Defaulter
1238,60000,Male,Graduate school,Married,33,-1,-1,-1,-1,-1,-1,8308,7565,8373,7565,7565,7565,7565,8373,7565,7565,7565,7565,Non-Defaulter
14100,140000,Male,Graduate school,Single,27,0,0,0,0,0,0,7845,12338,13919,14019,4347,4729,5000,3000,300,500,4000,6000,Non-Defaulter
29711,500000,Male,University,Married,33,0,0,0,0,0,0,5322,5920,6061,7289,8313,6490,1125,1280,1791,1528,1512,1370,Non-Defaulter
19832,80000,Female,University,Single,36,1,2,2,2,0,0,81606,154026,82385,79795,48999,48161,0,7600,5,2000,2000,2000,Defaulter
27330,50000,Male,High School,Married,42,0,0,0,0,0,0,45220,46272,47330,48337,49298,50510,1800,1800,1800,1748,1990,2500,Non-Defaulter
20342,180000,Female,High School,Single,55,-1,0,0,0,0,0,52824,53165,54842,54868,56286,56621,2000,3002,3000,2300,2345,2000,Non-Defaulter
24307,280000,Male,University,Single,30,0,0,0,0,0,0,29161,14908,237367,233819,198890,189064,1282,233836,6935,5931,19157,5905,Non-Defaulter
5463,260000,Male,Graduate school,Single,32,0,0,0,0,0,0,122423,123006,122956,123709,120603,122674,5940,6000,4500,4500,4546,4510,Non-Defaulter
26498,90000,Female,High School,Married,52,0,0,0,0,0,0,42567,43578,44881,43906,43767,43619,2022,2325,1510,1199,2380,1204,Non-Defaulter
4598,110000,Female,University,Single,24,0,0,0,0,0,0,94597,96263,61195,28154,24773,21620,4260,2310,1010,980,900,750,Non-Defaulter
579,50000,Male,University,Single,36,0,0,0,0,0,0,5197,6015,6615,7131,6987,6980,1300,1100,1000,500,500,1000,Non-Defaulter
1068,240000,Male,University,Single,43,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,Defaulter
26764,180000,Male,Graduate school,Single,26,0,0,0,0,0,0,131653,132462,130598,98336,86862,88618,5002,5004,3416,3074,3500,3179,Non-Defaulter
25199,80000,Female,University,Married,23,0,0,0,0,0,-2,54600,56379,55875,7552,0,0,3300,2640,1056,0,0,0,Non-Defaulter
10068,500000,Male,University,Married,42,0,0,-1,-1,-1,-2,1131,0,157,2025,-1,-1,0,157,2029,0,0,649,Non-Defaulter
12953,40000,Female,University,Married,23,2,3,2,2,2,0,31772,30983,33168,33527,32854,33947,0,3000,1200,0,1641,1362,Non-Defaulter
12804,150000,Male,High School,Married,52,0,0,0,0,0,0,88812,90649,92499,94364,97589,99921,2564,2616,2647,4000,3158,2215,Defaulter
19755,180000,Female,Graduate school,Married,41,1,-2,-2,-1,-1,-2,1520,-10,-10,3844,0,0,10,0,3854,0,0,0,Non-Defaulter
28035,310000,Female,Graduate school,Single,29,0,-1,0,-1,-1,-1,8454,14570,21897,4316,771,2888,14581,11139,15347,793,7390,1436,Non-Defaulter
1229,90000,Female,University,Married,23,0,0,0,0,0,0,12770,14241,14895,25195,23769,2269,2500,1200,10500,7000,1000,0,Defaulter
9491,50000,Female,University,Married,22,0,0,0,0,0,0,48255,41550,35553,23711,25975,900,2400,1842,1000,1928,900,31150,Non-Defaulter
27125,270000,Male,Graduate school,Married,40,0,0,0,0,0,0,3686,4699,5718,6727,6861,7005,1084,1103,1112,246,255,651,Non-Defaulter
17618,410000,Female,Graduate school,Single,31,0,0,0,0,0,0,309531,313646,270317,209076,191671,192848,11270,15325,9099,7016,7703,100000,Non-Defaulter
20489,160000,Male,Others,Single,26,0,0,0,0,0,0,11152,11354,11486,12176,8044,0,5398,5676,8874,161,0,0,Non-Defaulter
87,360000,Female,Graduate school,Married,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,Defaulter
24977,420000,Male,University,Married,38,0,0,0,0,0,0,293402,297672,304702,311889,182087,185152,10433,12000,13302,7002,6500,7000,Non-Defaulter
3384,110000,Female,University,Married,36,1,2,0,0,2,2,10448,10144,14516,19396,9298,14116,0,5000,5000,0,5000,0,Defaulter
20157,150000,Female,University,Married,40,0,0,0,0,0,0,87105,82772,75928,66245,61833,62375,3000,3504,2300,2199,2414,2500,Non-Defaulter
4785,50000,Male,University,Single,40,0,0,0,0,0,0,48331,49163,49754,19169,19480,19569,2300,2200,1000,1000,800,700,Defaulter
1018,140000,Female,High School,Single,57,2,0,0,0,0,0,131795,134083,125360,99313,90623,92425,6743,5421,3926,3290,3310,3424,Defaulter
28403,80000,Female,Graduate school,Single,27,-1,-1,2,-1,-1,-1,988,12922,12261,2393,407,2888,12961,0,2403,407,3176,7336,Defaulter
1637,50000,Male,University,Married,49,0,0,0,0,0,0,49816,49749,48589,59469,20239,20059,3000,2000,1900,1004,1600,700,Non-Defaulter
5105,70000,Female,High School,Single,40,0,0,0,0,0,0,60525,60932,60190,25126,24718,27726,14011,14494,6019,7010,8007,5008,Non-Defaulter
6126,30000,Female,High School,Married,47,-2,-2,-2,-2,-2,-2,6911,10507,4785,4567,11762,4209,10523,4790,4736,55762,4209,22815,Non-Defaulter
11187,180000,Male,University,Single,30,0,0,0,2,0,0,40735,36337,36882,34000,34798,35488,1581,4626,0,1500,1419,1400,Defaulter
23463,200000,Female,Graduate school,Single,46,-2,-2,-2,-2,-2,-2,2263,3441,2124,6041,2975,3441,3448,2124,6063,2975,3441,1841,Non-Defaulter
18709,130000,Female,Graduate school,Single,27,0,0,0,-2,-2,-2,49964,50000,0,0,0,0,1000,0,0,0,0,0,Non-Defaulter
21801,50000,Female,Graduate school,Single,25,2,2,3,2,2,2,40959,43870,42891,43582,44561,45592,3900,0,1700,2000,1900,1800,Defaulter
20214,30000,Female,High School,Married,51,0,0,0,0,0,0,15126,13327,13829,10898,9217,9048,1236,1518,1074,500,300,1000,Non-Defaulter
3022,180000,Female,Graduate school,Single,30,0,0,-1,0,0,-2,15743,9814,9161,8252,0,0,1205,9402,0,0,0,0,Non-Defaulter
10081,60000,Female,University,Married,53,0,0,0,0,0,0,55505,57374,35751,25824,25831,27393,3000,2015,2000,1000,2000,2000,Non-Defaulter
4445,100000,Male,University,Single,36,8,7,6,5,4,3,110072,108478,105931,104554,102360,100413,0,0,1170,0,0,0,Non-Defaulter
2690,160000,Female,Graduate school,Single,31,-2,-2,-2,-1,-1,-1,0,0,0,150,150,150,0,0,150,150,150,178,Non-Defaulter
25955,200000,Female,Graduate school,Married,42,-1,-1,-2,-1,-1,-1,2374,0,0,5144,0,931,0,0,5144,0,931,0,Non-Defaulter
5046,270000,Male,Graduate school,Single,36,0,0,0,2,0,0,78630,68921,46512,40335,37165,22156,10076,4018,14,2051,2000,0,Non-Defaulter
10189,360000,Male,High School,Married,41,-1,-1,-1,-1,-1,-1,498,498,498,498,498,498,498,498,498,498,498,498,Defaulter
9898,200000,Female,University,Married,34,1,-1,-1,-1,0,0,2500,9814,0,4379,1699,0,9814,0,4379,0,0,0,Defaulter
12692,180000,Male,Graduate school,Married,35,-1,-1,-1,-1,-1,-1,574,396,395,846,1027,381,396,395,848,1027,381,5819,Non-Defaulter
9293,140000,Female,University,Married,30,0,0,2,4,3,2,106298,111040,122612,120270,118091,122963,6451,15000,1100,0,7000,0,Defaulter
258,160000,Female,University,Married,33,-1,-1,-1,-1,0,-1,8015,2453,9624,52572,7333,2210,2453,9880,52572,1546,2210,0,Non-Defaulter
20358,130000,Male,High School,Married,27,-1,-1,-1,-1,-2,-1,500,2000,1354,0,0,2699,2000,1354,0,0,2699,3766,Defaulter
16624,80000,Male,Graduate school,Single,31,0,0,0,0,0,0,72840,74631,77329,78147,79785,76766,9000,5000,3000,3000,2501,3000,Non-Defaulter
21216,140000,Male,Graduate school,Single,44,0,0,0,0,2,0,72763,75064,76892,79522,79623,80895,3905,4025,4924,2381,2926,3108,Non-Defaulter
29463,150000,Male,Graduate school,Single,27,0,0,0,0,0,0,85500,86009,86108,89006,89775,87725,3956,4031,10006,3266,4040,1698,Non-Defaulter
20182,170000,Female,Graduate school,Single,28,0,0,0,0,0,0,56766,59811,61987,63849,66276,68207,4000,3638,3500,3500,3000,3000,Non-Defaulter
17498,150000,Female,University,Single,28,-1,-1,-1,-1,-1,0,326,326,326,326,652,326,326,326,326,652,0,326,Non-Defaulter
5095,360000,Male,Graduate school,Single,26,0,-1,-1,0,-1,-1,11910,1356,4073,17812,2981,1936,1500,5000,15000,3000,2000,1033,Non-Defaulter
19976,220000,Female,Graduate school,Married,41,0,0,2,0,0,0,138657,156689,150748,154481,156487,154870,22000,0,8000,7000,6500,5000,Non-Defaulter
549,230000,Female,Graduate school,Single,28,-1,-1,0,0,0,0,2403,7357,9752,12608,10797,20539,7357,2566,3000,1000,10000,2000,Non-Defaulter
24742,50000,Male,University,Married,43,0,0,0,0,0,0,48919,48775,48731,48934,29116,28999,1800,2200,1400,582,580,30000,Non-Defaulter
11169,20000,Female,Graduate school,Single,25,0,0,0,0,0,0,15465,16489,17509,17856,18270,18967,1280,1300,637,700,1000,1600,Non-Defaulter
23665,30000,Female,High School,Single,47,2,2,2,0,0,2,11652,12461,11970,12981,14077,14367,1300,0,1214,1310,660,0,Defaulter
2750,120000,Male,Graduate school,Married,43,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Defaulter
3721,80000,Female,University,Married,46,1,-2,-2,-2,-2,-1,0,0,0,0,0,650,0,0,0,0,650,0,Defaulter
29201,50000,Male,High School,Single,25,0,0,2,2,0,0,39686,43685,44694,43673,44659,49512,5000,2000,0,2000,6000,300,Non-Defaulter
11750,50000,Female,University,Married,45,0,0,2,2,2,2,46248,50893,48854,50901,50015,48179,5750,0,3800,1890,0,1850,Defaulter
5359,230000,Female,University,Single,30,0,0,0,0,0,0,74664,63540,66131,58430,72617,66787,3000,10000,10000,20145,11745,686,Non-Defaulter
8723,50000,Male,University,Single,50,0,0,-2,-2,-2,-2,25925,0,0,0,0,0,0,0,0,0,0,0,Non-Defaulter
14015,290000,Female,University,Married,36,0,0,0,0,0,0,154336,125684,111298,82204,82792,83832,3600,3010,3000,2500,3000,2500,Non-Defaulter
13896,20000,Male,University,Married,50,1,2,0,0,2,0,1065,675,1285,1895,1340,950,0,1000,1000,0,0,450,Defaulter
18498,140000,Female,Graduate school,Single,26,0,0,0,0,0,0,131863,136170,139270,137548,96340,94201,6500,6799,5100,3300,3400,7461,Non-Defaulter
5275,20000,Male,Graduate school,Single,24,-1,-1,-1,-1,-2,-2,10283,0,750,0,0,0,0,750,0,0,0,0,Defaulter
22810,200000,Female,Others,Single,40,0,0,0,0,0,0,201598,198373,152601,105588,73886,198487,10100,6700,5500,4500,127600,7500,Non-Defaulter
22110,150000,Female,University,Married,30,0,-1,-1,-1,-1,-1,1499,1231,0,1872,0,113,1231,0,1872,0,113,0,Non-Defaulter
2089,90000,Female,University,Married,54,-1,-1,-1,-1,-1,-1,692,392,332,14579,2091,506,394,332,14579,2091,506,417,Non-Defaulter
4294,310000,Female,University,Single,26,0,0,0,0,0,0,87717,93707,83632,81133,75499,73540,9156,2782,4013,2688,2651,2652,Non-Defaulter
2250,550000,Female,University,Married,32,0,0,0,0,0,0,546741,535509,548020,530672,155083,165975,22863,167622,14000,4300,158064,28840,Defaulter
27295,100000,Male,University,Married,30,0,0,0,0,0,-2,37218,33720,24666,10550,0,0,1641,1200,1000,0,0,0,Non-Defaulter
1341,200000,Female,High School,Single,49,-1,-1,0,0,0,-1,7697,18951,27974,30596,38109,22170,20071,20036,15022,15113,22235,3919,Non-Defaulter
12045,430000,Female,Graduate school,Married,37,-1,-1,-1,-1,-1,-1,1669,412,23547,5064,13258,2249,416,23547,5064,13258,2249,3686,Non-Defaulter
16911,170000,Male,University,Married,39,0,0,0,0,0,0,142509,143339,125864,112300,110371,113685,5000,20000,6000,5000,5000,3000,Non-Defaulter
3885,20000,Male,University,Single,24,-1,-1,2,-1,0,0,390,780,390,780,780,0,780,0,780,0,0,0,Defaulter
16564,50000,Male,University,Married,27,0,0,0,0,0,0,46806,46176,47151,47251,20515,19404,2000,5300,1500,1100,1000,1000,Non-Defaulter
17588,70000,Female,University,Single,38,1,2,2,2,2,2,21047,22102,22949,23275,23596,23078,1700,1500,1000,1000,0,2100,Non-Defaulter
12848,350000,Female,University,Married,38,-1,-1,-1,-1,-1,-1,4482,4985,4322,4992,4295,5952,4998,4333,5005,4305,5963,6015,Non-Defaulter
13900,60000,Female,University,Married,48,0,0,0,-1,0,0,58794,59987,33908,19513,17281,16802,7296,1903,19513,759,851,390,Non-Defaulter
8922,200000,Male,University,Married,33,-1,-1,-1,-1,-1,-1,3353,5341,5966,3348,5051,7128,5341,5966,3348,5061,7128,4722,Non-Defaulter
27341,50000,Male,Graduate school,Single,38,0,0,0,0,0,0,50620,47164,48004,49307,19218,19465,3000,3014,6047,1000,2320,3000,Non-Defaulter
20783,300000,Male,Graduate school,Married,33,0,0,0,0,0,0,31808,22743,22396,21055,14714,7323,1514,1216,3127,3046,2011,142,Non-Defaulter
26076,430000,Female,Graduate school,Married,38,1,-1,-1,-2,-2,-1,-469,215,-101,-1217,-2333,2351,1000,0,0,0,5000,12000,Non-Defaulter
6345,190000,Female,University,Single,27,2,2,2,0,0,0,4686,5459,6214,7104,8973,10809,1000,1000,1000,2000,2000,2000,Defaulter
8457,300000,Female,Graduate school,Single,35,0,0,0,0,0,0,47295,87717,78638,77038,74345,49452,55047,27354,2124,5000,5500,4000,Non-Defaulter
7235,30000,Male,University,Single,24,0,0,-2,-1,-1,-2,12800,0,0,90,-40,-3000,0,0,90,0,0,10400,Non-Defaulter
14165,210000,Female,Graduate school,Single,31,0,0,0,0,0,0,140839,119171,119680,118070,111841,111716,4500,6000,5102,5000,5000,4000,Non-Defaulter
21792,60000,Female,Others,Single,27,0,0,0,0,0,0,170536,175143,180162,190202,209923,55491,5143,5162,10202,19923,1591,5500,Non-Defaulter
6829,20000,Male,University,Single,26,1,5,4,3,2,0,13242,12762,12276,11790,11460,14090,0,0,0,0,3000,5000,Defaulter
13544,150000,Female,High School,Single,43,-2,-2,-2,-2,-2,-2,1622,12946,0,0,1761,18304,13016,0,0,1761,18306,4275,Non-Defaulter
17689,440000,Female,Graduate school,Married,40,0,0,0,0,0,0,416044,424528,434015,434419,393135,385578,16500,17500,17000,14500,14500,13500,Non-Defaulter
4304,490000,Female,University,Married,30,0,0,0,0,0,-1,26088,24092,24488,16995,-1527,62491,2003,2041,1092,4,64895,3003,Non-Defaulter
3360,120000,Male,University,Single,34,0,0,0,0,0,2,131773,58259,54699,54832,53693,48731,3000,1944,5000,3692,0,2000,Non-Defaulter
4749,80000,Male,Graduate school,Single,24,-1,0,-1,2,-1,0,2130,3100,173,173,3435,11962,1010,173,0,3438,10004,5500,Non-Defaulter
13046,130000,Male,University,Married,31,2,2,0,0,0,0,131635,126548,127748,100291,93552,95521,0,5100,4100,3392,3521,3724,Defaulter
20240,430000,Female,University,Single,50,0,0,0,0,0,0,268537,207118,202412,207496,250337,255277,10000,8000,12000,50000,28000,60000,Non-Defaulter
4783,230000,Female,Graduate school,Single,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Non-Defaulter
